council_district,street_name,block_range,limits,schedule,add_schedule
1,AMBERVALE TR,3920 - 3999,BENCHLEY RD - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,ANDERSON RIDGE PL,12400 - 12499,DEL MAR MESA RD - END,"Not Posted, Both Sides Even Month 1st Tue",
1,ANGELL AV,2500 - 2639,BEGIN - BAJER ST,"Not Posted, Both Sides Odd Month 1st Thu",
1,ANGELL AV,2640 - 2799,BAJER ST - ANGELL PL,"Not Posted, Both Sides Odd Month 1st Thu",
1,ANGELL AV,2800 - 2899,ANGELL PL - ARNOLDSON AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,ANGELL PL,6200 - 6239,ANGELL AV - END,"Not Posted, Both Sides Odd Month 1st Thu",
1,ANGOULEME CT,12320 - 12399,DEL MAR MESA RD - END,"Not Posted, Both Sides Even Month 1st Tue",
1,APRIL CT,3850 - 3899,CAMTO ARAYA - GENESEE AV,"Not Posted, Both Sides Tue",
1,AQUITAINE CT,12300 - 12349,DEL MAR MESA RD - END,"Not Posted, Both Sides Even Month 1st Tue",
1,ARANDA AV,6600 - 6679,MICHAELJOHN DR - SCARLATI PL,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ARANDA AV,6680 - 6699,SCARLATI PL - NAUTILUS ST,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ARBUTUS ST,3800 - 3899,SORRENTO VALLEY RD - END,"Not Posted, Both Sides Wed",
1,ARDATH CT,2510 - 2569,TORREY PINES LN - END,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,ARDATH LN,7860 - 7899,AZURE COAST DR - TORREY PINES RD,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ARENAS ST,400 - 439,MONTE VISTA AV - OLIVETAS AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,ARENAS ST,440 - 499,OLIVETAS AV - LA JOLLA BL,"Not Posted, Both Sides Odd Month 4th Thu",
1,ARENAS ST,500 - 699,LA JOLLA BL - DRAPER AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,ARENAS ST,700 - 751,DRAPER AV - END,"Not Posted, Both Sides Odd Month 4th Thu",
1,ARNOLDSON AV,2700 - 2739,BAJER ST - ARNOLDSON PL,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON AV,2740 - 2819,ARNOLDSON PL - ARNOLDSON CT,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON AV,2820 - 2849,ARNOLDSON CT - TRAVERS WY,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON AV,2850 - 2899,TRAVERS WY - ANGELL AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON AV,2900 - 2926,ANGELL AV - BRANTING ST,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON AV,2927 - 2999,BRANTING ST - END,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON CT,6160 - 6199,BEGIN - ARNOLDSON AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARNOLDSON PL,6140 - 6199,BEGIN - ARNOLDSON AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARRIBA ST,3700 - 3899,REGENTS RD - PALMILLA DR,"Not Posted, Both Sides Tue",
1,ARRIBA ST,3900 - 3999,REGENTS RD - CAM AGUILA,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARRIBA ST,4000 - 4029,CAM AGUILA - CAM TRANQUILO,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARRIBA ST,4050 - 4099,CAM TRANQUILO - CAM GLORITA,"Not Posted, Both Sides Odd Month 1st Thu",
1,ARROYO SORRENTO PL,11600 - 11659,ARROYO SORRENTO RD - END,"Not Posted, Both Sides Thu",
1,ARROYO SORRENTO RD,3700 - 3899,EL CAM REAL - TIERRA DEL SUR,"Not Posted, Both Sides Thu",
1,ARROYO SORRENTO RD,3900 - 4079,TIERRA DEL SUR - ARROYO SORRENTO PL,"Not Posted, Both Sides Thu",
1,ARROYO SORRENTO RD,4080 - 4399,ARROYO SORRENTO PL - BELCOURT PL,"Not Posted, Both Sides Thu",
1,ASHLEY FALLS CT,5000 - 5099,ASHLEY FALLS DR - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12550 - 12599,ALMONDWOOD WY - BROOKBURN DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12600 - 12669,BROOKBURN DR - RIDING RIDGE RD,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12670 - 12699,RIDING RIDGE RD - ALGONQUIN CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12700 - 12739,ALGONQUIN CT - EASTCLIFF CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12740 - 12749,EASTCLIFF CT - CARMEL KNOLLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12750 - 12759,CARMEL KNOLLS DR - ALBERSON CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12760 - 12799,ALBERSON CT - BRADSHAW CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12800 - 12850,BRADSHAW CT - MC GILL WY,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12851 - 12859,MC GILL WY - HIDDEN DUNE CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12860 - 12899,HIDDEN DUNE CT - SMITH CANYON CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12900 - 12949,SMITH CANYON CT - BEAUCHAMP CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12950 - 12969,BEAUCHAMP CT - CONCANNON CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,12970 - 12999,CONCANNON CT - HARWICK LN,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,13000 - 13019,HARWICK LN - PEARLMAN WY,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,13020 - 13049,PEARLMAN WY - CARMEL KNOLLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,13050 - 13059,CARMEL KNOLLS DR - SEACHASE WY,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,13060 - 13069,SEACHASE WY - ASHLEY FALLS CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,ASHLEY FALLS DR,13070 - 13099,ASHLEY FALLS CT - DEL MAR HEIGHTS RD,"Not Posted, Both Sides Odd Month 4th Wed",
1,AUTOPORT ML,5700 - 5879,EASTGATE ML - MIRAMAR ML,"Not Posted, Both Sides Fri",
1,AVILA CT,2000 - 2099,LA PINTURA DR - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA ALAMAR,7900 - 7999,LOWRY PL - PASEO DORADO,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA AMANTEA,1000 - 1099,RAVENSWOOD RD - SKYLARK PL,"Not Posted, Both Sides Odd Month 4th Thu",
1,AVNDA AMANTEA,1100 - 1199,SKYLARK PL - END,"Not Posted, Both Sides Odd Month 4th Thu",
1,AVNDA ANDORRA,6600 - 6849,NAUTILUS ST - VIA DON BENITO,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA ANDORRA,6850 - 6899,VIA DON BENITO - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA BIZARRO,6600 - 6699,VIA BARRANCA - AVNDA DE LAS PESCAS,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CHAMNEZ,5900 - 5999,BEGIN - VIA ESPANA,"Not Posted, Both Sides Odd Month 4th Thu",
1,AVNDA CHAMNEZ,6000 - 6139,VIA ESPANA - END,"Not Posted, Both Sides Odd Month 4th Thu",
1,AVNDA CORTEZ,200 - 209,CAM DE LA COSTA - AVNDA CRESTA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CORTEZ,210 - 299,AVNDA CRESTA - VIA DEL NORTE,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CRESTA,6000 - 6199,CAM DE LA COSTA - AVNDA CORTEZ,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CRESTA,6200 - 6219,AVNDA CORTEZ - VIA DEL NORTE,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CRESTA,6220 - 6279,VIA DEL NORTE - VIA DEL NORTE,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CRESTA,6280 - 6299,VIA DEL NORTE - MESA WY,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CRESTA,6300 - 6399,MESA WY - WINAMAR AV,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA CRESTA,6400 - 6499,WINAMAR AV - PALOMAR AV,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA DE LA PLAYA,2000 - 2099,BEGIN - CAM DEL ORO,"Not Posted, Both Sides Mon",
1,AVNDA DE LA PLAYA,2100 - 2114,CAM DEL ORO - CAM DEL SOL,"Posted (2am - 6am), NS Mon, SS Fri",
1,AVNDA DE LA PLAYA,2115 - 2150,CAM DEL SOL - CALLE DE LA PLATA,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LA PLAYA,2151 - 2199,CALLE DE LA PLATA - AVNDA DE LA RIBERA,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LA PLAYA,2200 - 2235,AVNDA DE LA RIBERA - PASEO DEL OCASO,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LA PLAYA,2236 - 2299,PASEO DEL OCASO - LA JOLLA SHORES DR,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LA PLAYA,2300 - 2499,LA JOLLA SHORES DR - CALLE DEL CIELO,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LAS ONDAS,8400 - 8499,BEGIN - CALLE CORTA,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LAS ONDAS,8500 - 8569,CALLE CORTA - CALLE CHIQUITA,"Posted (7am - 11am), SS 1st & 3rd Thu, NS 2nd & 4th Thu",
1,AVNDA DE LAS PESCAS,6600 - 6669,AVNDA BIZARRO - VIA BARRANCA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA DE LAS PESCAS,6670 - 6699,VIA BARRANCA - NAUTILUS ST,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA KIRJAH,7850 - 7879,WOODFORD DR - BELLAKAREN PL,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA KIRJAH,7880 - 7959,BELLAKAREN PL - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA LA BAHIA,7150 - 7188,AVNDA NAVIDAD - TOWNE CENTRE DR,"Not Posted, Both Sides Tue",
1,AVNDA LA REINA,6600 - 6699,AVNDA MIROLA - NAUTILUS ST,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MANANA,6400 - 6470,BEGIN - MANANA PL,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MANANA,6471 - 6499,MANANA PL - AVNDA WILFREDO,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MANANA,6500 - 6532,AVNDA WILFREDO - VIA ANGELINA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MANANA,6533 - 6599,VIA ANGELINA - VIA BARRANCA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MANANA,6600 - 6699,VIA BARRANCA - NAUTILUS ST,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MANANA,6700 - 6749,NAUTILUS ST - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA MIROLA,6560 - 6699,AVNDA LA REINA - NAUTILUS ST,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA WILFREDO,6400 - 6499,BEGIN - AVNDA MANANA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA WILFREDO,6500 - 6519,AVNDA MANANA - VIA CAROLINA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AVNDA WILFREDO,6520 - 6599,VIA CAROLINA - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AWARD RW,3000 - 3099,HONORS DR - END,"Not Posted, Both Sides Odd Month 1st Thu",
1,AZUL ST,2700 - 2751,LA JOLLA SHORES DR - POOLE ST,"Not Posted, Both Sides Thu",
1,AZUL ST,2752 - 2799,POOLE ST - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AZURE COAST DR,2440 - 2699,ARDATH LN - ESTEREL DR,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AZZURO CT,12700 - 12739,CARMEL KNOLLS DR - BELVISTA CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,AZZURO CT,12740 - 12799,BELVISTA CT - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,BAHAMA CV,14100 - 14199,BEGIN - VANTAGE WY,"Not Posted, Both Sides Odd Month 4th Wed",
1,BAHIA DR,2200 - 2399,BAHIA WY - SOLEDAD RD,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BAHIA LN,5400 - 5499,PARKVIEW TR - BAHIA WY,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BAHIA LN,5500 - 5589,BAHIA WY - CORAL REEF AV,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BAHIA VISTA WY,1600 - 1699,RUTGERS RD - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BAHIA WY,1900 - 1949,BAHIA DR - THUNDERBIRD LN,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BAHIA WY,1950 - 1999,THUNDERBIRD LN - BAHIA LN,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BAJA MAR,5700 - 5749,BEGIN - LA JOLLA MESA DR,"Not Posted, Both Sides Odd Month 4th Thu",
1,BAJER ST,6250 - 6269,ARNOLDSON AV - ANGELL AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BANDERA ST,300 - 399,CALUMET AV - LINDA WY,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BANFIELD LN,3700 - 3749,LARKFIELD CT - KINGSFIELD CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,BANFIELD LN,3750 - 3849,KINGSFIELD CT - HOLLYFIELD CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,BANFIELD LN,3850 - 3899,HOLLYFIELD CT - HARTFIELD AV,"Not Posted, Both Sides Odd Month 4th Wed",
1,BANUELO CV,12300 - 12429,PILON PT - SANTA NELLA PL,"Not Posted, Both Sides Odd Month 4th Wed",
1,BARBADOS WY,13300 - 13369,PORTOFINO DR - BOCA RATON ST,"Not Posted, Both Sides Odd Month 4th Wed",
1,BARBADOS WY,13370 - 13459,BOCA RATON ST - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,BARKLA ST,5400 - 5499,BLOCH ST - SODERBLOM AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BARKLA ST,5500 - 5599,SODERBLOM AV - QUIDDE AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BARLOWS LANDING CV,4820 - 4899,NANTUCKET PARK WY - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,BAYLISS CT,4850 - 4899,BEGIN - WINSTANLEY WY,"Not Posted, Both Sides Even Month 3rd Thu",
1,BAYWIND PT,12800 - 12899,BEGIN - PEARLMAN WY,"Not Posted, Both Sides Odd Month 4th Wed",
1,BEACHCOMBER CT,5200 - 5299,BEGIN - CARMEL KNOLLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,BEAUCHAMP CT,4900 - 4999,BEGIN - ASHLEY FALLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,BEAUMONT AV,5300 - 5339,BEGIN - COLIMA ST,"Not Posted, Both Sides Odd Month 4th Thu",
1,BEAUMONT AV,5340 - 5499,COLIMA ST - MIDWAY ST,"Not Posted, Both Sides Odd Month 4th Thu",
1,BEAUMONT AV,5500 - 5599,MIDWAY ST - FORWARD ST,"Not Posted, Both Sides Odd Month 4th Thu",
1,BEAUMONT AV,5600 - 5699,FORWARD ST - BIRD ROCK AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BEAUMONT AV,5700 - 5799,BIRD ROCK AV - CAM DE LA COSTA,"Not Posted, Both Sides Odd Month 4th Thu",
1,BEAUMONT AV,5800 - 5999,CAM DE LA COSTA - LA CANADA,"Not Posted, Both Sides Odd Month 4th Thu",
1,BEAUMONT AV,6000 - 6099,LA CANADA - MIRA MONTE,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BEAUMONT AV,6100 - 6199,MIRA MONTE - VIA DEL NORTE,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BEAUMONT AV,6200 - 6299,VIA DEL NORTE - END,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BELLAKAREN PL,7810 - 7879,BEGIN - AVNDA KIRJAH,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BELLEVUE AV,5300 - 5399,BELLEVUE PL - COLIMA ST,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELLEVUE AV,5400 - 5499,COLIMA ST - MIDWAY ST,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELLEVUE AV,5500 - 5599,MIDWAY ST - FORWARD ST,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELLEVUE AV,5600 - 5699,FORWARD ST - BIRD ROCK AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELLEVUE AV,5700 - 5799,BIRD ROCK AV - CAM DE LA COSTA,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELLEVUE AV,5800 - 5999,CAM DE LA COSTA - LA CANADA,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELLEVUE AV,6000 - 6069,LA CANADA - FOLSOM DR,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BELLEVUE AV,6070 - 6099,FOLSOM DR - MIRA MONTE,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BELLEVUE PL,740 - 799,BEGIN - BELLEVUE AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELVEDERE ST,200 - 299,NEPTUNE PL - VISTA DEL MAR AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELVEDERE ST,300 - 399,VISTA DEL MAR AV - MONTE VISTA AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELVEDERE ST,400 - 499,MONTE VISTA AV - LA JOLLA BL,"Not Posted, Both Sides Odd Month 4th Thu",
1,BELVISTA CT,4600 - 4699,AZZURO CT - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,BENCHLEY RD,13200 - 13229,TYNEBOURNE CR - AMBERVALE TR,"Not Posted, Both Sides Odd Month 4th Wed",
1,BENCHLEY RD,13230 - 13259,AMBERVALE TR - GAFFNEY CT,"Not Posted, Both Sides Odd Month 4th Wed",
1,BENCHLEY RD,13260 - 13399,GAFFNEY CT - GRAYSON DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,BENHURST AV,4270 - 4299,FARLEY DR - COZZENS ST,"Not Posted, Both Sides Odd Month 1st Thu",
1,BENHURST AV,4300 - 4399,COZZENS ST - CAMROSE AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BENHURST AV,4400 - 4499,CAMROSE AV - ERLANGER ST,"Not Posted, Both Sides Odd Month 1st Thu",
1,BENHURST AV,4500 - 4549,ERLANGER ST - BENHURST CT,"Not Posted, Both Sides Odd Month 1st Thu",
1,BENHURST AV,4550 - 4649,BENHURST CT - END,"Not Posted, Both Sides Odd Month 1st Thu",
1,BENHURST CT,6300 - 6329,BEGIN - BENHURST AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BERINO CT,3900 - 3950,REGENTS RD - END,"Not Posted, Both Sides Odd Month 1st Thu",
1,BERRYFIELD CT,3600 - 3699,WYNDHAVEN DR - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,BIRCH HILL PT,5260 - 5299,BEGIN - CHERRY HILL DR,"Not Posted, Both Sides Even Month 1st Tue",
1,BIRD ROCK AV,200 - 219,SEA ROSE PL - DOLPHIN PL,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BIRD ROCK AV,220 - 299,DOLPHIN PL - ABALONE PL,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BIRD ROCK AV,300 - 349,ABALONE PL - CHELSEA AV,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BIRD ROCK AV,350 - 399,CHELSEA AV - LA JOLLA BL,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BIRD ROCK AV,400 - 499,LA JOLLA BL - LA JOLLA HERMOSA AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BIRD ROCK AV,500 - 599,LA JOLLA HERMOSA AV - BEAUMONT AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BIRD ROCK AV,600 - 699,BEAUMONT AV - WAVERLY AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BIRD ROCK AV,700 - 749,WAVERLY AV - BELLEVUE AV,"Not Posted, Both Sides Odd Month 4th Thu",
1,BIRD ROCK AV,750 - 799,BELLEVUE AV - END,"Not Posted, Both Sides Odd Month 4th Thu",
1,BISCAYNE CV,12900 - 12959,BEGIN - PORTOFINO DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,BISHOPS LN,7500 - 7699,PEARL ST - KLINE ST,"Not Posted, Both Sides Mon",
1,BISHOPS LN,7700 - 7799,KLINE ST - SILVERADO ST,"Not Posted, Both Sides Mon",
1,BISHOPS LN,7800 - 7899,SILVERADO ST - PROSPECT ST,"Not Posted, Both Sides Mon",
1,BLACK GOLD RD,9600 - 9649,LA JOLLA FARMS RD - BROOKMEAD LN,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BLACK GOLD RD,9650 - 9699,BROOKMEAD LN - IDLE HOUR LN,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BLACK GOLD RD,9700 - 9719,IDLE HOUR LN - CROWN CREST LN,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BLACK GOLD RD,9720 - 9899,CROWN CREST LN - LA JOLLA FARMS RD,"Not Posted, Both Sides Odd Month 3rd Wed",
1,BLACK PINE PL,4600 - 4629,CHAPARRAL RIDGE RD - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,BLOCH ST,5100 - 5299,BEGIN - CURIE PL,"Not Posted, Both Sides Odd Month 1st Thu",
1,BLOCH ST,5300 - 5399,CURIE PL - SAN CLEMENTE TR,"Not Posted, Both Sides Odd Month 1st Thu",
1,BLOCH ST,5400 - 5499,SAN CLEMENTE TR - BARKLA ST,"Not Posted, Both Sides Odd Month 1st Thu",
1,BLOCH ST,5500 - 5599,BARKLA ST - SODERBLOM AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BLOCH ST,5600 - 5659,SODERBLOM AV - QUIDDE AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,BLOCH ST,5660 - 5749,QUIDDE AV - END,"Not Posted, Both Sides Odd Month 1st Thu",
1,BLUEBIRD LN,1000 - 1199,VIRGINIA WY - HIGH AV,"Not Posted, Both Sides Odd Month 4th Thu",
